choice,RT,p
-1,550,0.0140516
1,710,0.0102828
1,630,0.0122487
1,530,0.00512653
1,2230,0.00161904
-1,1730,0.00253004
1,1140,0.00197477
-1,280,0.000729677
-1,1980,0.000237187
1,700,0.0105261
-1,970,0.00637877
1,1940,0.000268376
1,330,0.0125236
-1,470,0.00184523
-1,690,0.010771
-1,1610,0.00281389
1,590,0.0131969
1,3880,0.000372585
-1,720,0.0100415
1,990,0.00470811
-1,1700,0.00259834
-1,580,0.00980785
-1,860,0.00511059
1,1220,0.00393939
1,1450,0.00323815
-1,470,0.000137111
1,830,0.00758535
-1,640,0.00951622
1,1040,0.00207451
-1,760,0.00534333
-1,680,0.0110171
1,1830,0.00231464
1,2440,0.00134156
1,2020,0.000209616
-1,530,0.00984731
1,470,0.0151464
1,2520,0.000862025
-1,1530,0.00253532
1,3030,0.000790864
1,330,0.00653746
1,860,0.00699354
1,460,0.00943829
1,540,0.009858
1,890,0.0064382
-1,810,0.00224535
1,440,0.015201
-1,2040,0.0011586
1,2190,0.00081468
-1,910,0.00697109
1,1960,0.00121699
1,770,0.00887417
-1,1410,0.00335259
-1,490,0.0149823
1,370,0.0141169
1,1020,0.00590762
-1,220,0.00215994
-1,2280,0.000697524
-1,600,0.00536744
-1,1050,0.00450739
-1,2300,0.000673866
1,1060,0.000536312
1,2690,0.00107243
1,190,0.00114029
-1,540,0.00985799
-1,530,0.0144206
-1,360,0.0137914
1,2300,0.000987224
1,1000,0.00609333
1,2030,0.00193621
1,390,0.00827295
1,570,0.0136403
1,1330,0.00359133
1,160,0.000437102
-1,1390,0.0014594
1,380,0.0143958
-1,860,0.00699354
-1,830,0.00519055
1,1060,0.00394878
-1,1210,0.00252277
-1,1240,0.00230407
-1,2720,0.001044
-1,1040,0.00454108
-1,380,0.00803238
-1,780,0.00225474
1,3290,0.000536135
1,1350,0.000423234
1,1340,0.00170018
-1,870,0.00737754
1,2130,0.0010962
1,220,0.00477916
-1,2110,0.00180255
-1,460,0.0046411
1,250,0.00716357
1,1000,0.00467497
-1,400,0.014821
1,1320,5.20268e-05
-1,970,0.00213874
1,720,0.00887521
1,490,0.00969224
1,1930,0.00211713
1,1010,0.00457197
-1,4230,0.000269929
-1,480,0.0150757
-1,350,0.0134179
-1,1510,0.00262338
-1,590,0.00215557
-1,610,0.005386
-1,3040,0.000783812
-1,3100,0.000742797
1,360,0.0137914
1,1690,0.00143552
-1,710,0.0102828
1,470,0.00953749
1,2220,0.0016336
1,330,0.00653746
-1,280,0.00945289
1,1760,0.00246347
1,460,0.0151924
-1,2700,0.00106287
-1,530,0.0144206
-1,1130,0.00495888
-1,1120,0.00199516
1,1480,0.00162912
1,730,0.0098024
-1,630,0.0122487
1,2490,0.00128281
1,830,0.00519056
1,1290,0.00380741
1,580,0.013422
-1,160,0.0010439
-1,3190,0.000570243
-1,390,0.00827294
-1,2540,0.000851455
-1,1680,0.00196087
1,2240,0.0010244
-1,710,0.00541157
1,1020,0.00590762
-1,2110,0.00180255
1,1750,0.00138401
1,960,0.00647565
-1,1570,0.00291495
1,1860,0.00225357
-1,1520,0.00159069
1,7960,9.55217e-06
1,1230,0.004208
1,1480,0.00162912
-1,3550,7.79226e-05
1,660,0.0115112
1,450,0.0152113
-1,1880,0.00221373
1,4420,0.000267036
-1,830,0.00758536
-1,550,0.0140516
1,510,0.00501596
-1,490,0.0149823
-1,2870,0.000694668
-1,1240,0.0041387
1,240,0.0012183
-1,980,0.00498743
-1,870,0.00737754
1,400,0.0084941
-1,390,0.00384421
1,370,0.00355399
-1,440,0.00919268
1,410,0.00410652
-1,1960,0.00206117
-1,2370,0.000945536
-1,500,0.0148682
-1,970,0.00637877
-1,1090,0.00361354
1,1300,0.00192049
1,2010,0.00197113
1,700,0.00905378
-1,650,0.00944867
-1,790,0.00819572
-1,680,0.00922179
-1,800,0.00821287
1,580,0.00980786
-1,1670,0.00145307
-1,460,0.000556504
-1,1340,0.00350066
-1,850,0.00513801
1,3460,9.10166e-05
1,670,0.00543197
-1,580,0.00980785
-1,270,0.00420373
1,290,0.0101544
-1,680,0.00224477
-1,3140,0.000588103
1,1010,0.00464167
-1,2270,0.000709663
-1,880,0.00727535
1,770,0.00532508
1,220,0.00477916
1,310,0.0114323
1,570,0.0136403
1,460,0.000556505
-1,430,0.00167583
-1,780,0.00865016
1,1020,0.00590762
1,1330,0.00356011
-1,2040,0.00191898
-1,1470,0.00318218
1,1110,0.0020053
1,320,0.0120023
-1,1780,0.000439804
1,600,0.0129661
-1,470,0.0151464
1,1070,0.00383395
1,420,0.0150834
1,910,0.00697109
1,270,0.00871603
-1,1220,0.00189218
1,650,0.00944869
-1,1410,0.00310997
-1,1730,0.00140098
1,620,0.00963685
-1,740,0.00868821
1,460,0.00180636
-1,2040,0.0011586
-1,470,0.0151464
-1,280,0.000729677
-1,680,0.00224477
-1,870,0.00737754
-1,760,0.00534333
-1,670,0.011264
1,1230,0.00237485
1,570,0.00983311
-1,1430,0.00329495
-1,1840,0.00229411
1,440,0.00919269
-1,2860,0.000920953
-1,630,0.0122487
1,1420,0.00305765
1,1700,0.00189467
1,900,0.00707205
-1,980,0.00212999
-1,470,0.0151464
-1,350,0.0134179
-1,1310,0.00365299
-1,1700,0.00259834
1,1410,0.00335259
1,510,0.0147353
1,1010,0.00457197
-1,720,0.0100415
1,1220,0.00189218
1,870,0.00737755
-1,980,0.00628274
-1,1760,0.00170905
-1,870,0.00010602
-1,810,0.00799982
1,4080,0.000308748
-1,1100,0.00433857
-1,3690,0.00041891
-1,970,0.00513321
-1,1370,0.00332786
-1,540,0.0142421
1,1410,0.00137276
1,560,0.00985027
1,1830,0.00231464
-1,2750,0.00101632
-1,1280,0.00374689
1,320,0.0120023
1,1050,0.00563641
-1,2910,0.000105568
1,950,0.00543604
1,1430,0.000395003
1,1970,0.00204284
1,760,0.00849471
1,380,0.0143958
1,500,0.0148682
1,5230,0.000162027
-1,520,0.00507383
-1,410,0.0149715
1,1200,0.0040048
1,4620,0.000190335
-1,310,0.00581179
1,730,0.0098024
-1,1130,0.00423755
1,720,0.00540136
-1,710,0.00012885
1,3640,0.000457916
-1,2390,0.000576941
-1,1170,0.00284568
1,1700,0.00259835
-1,700,0.00225291
-1,460,0.00943828
1,1570,0.00291495
1,2270,0.00100564
1,720,0.00887521
-1,990,0.00618758
-1,910,0.00496415
-1,2880,0.000904601
-1,4840,0.00015629
1,300,0.0108155
-1,940,0.00667174
-1,1650,0.000325606
1,3500,0.000470999
-1,1230,0.004208
1,2110,0.00180255
-1,1050,0.00450739
-1,1570,0.00236774
-1,1180,0.00193359
1,900,0.00707205
-1,730,0.00878263
1,3120,0.000163673
1,2410,0.000557367
1,1030,0.00431263
1,520,0.0145856
-1,440,0.015201
1,2390,0.000933956
-1,390,0.00827294
1,1630,0.000698379
1,790,0.000633554
-1,560,0.0138506
-1,620,0.00540117
-1,1150,0.00480018
-1,510,0.00979361
-1,950,0.00215572
1,760,0.00534335
1,450,0.0152113
1,430,0.0151592
-1,300,0.0108155
1,270,0.00420374
1,420,0.00162756
-1,580,0.000637764
1,1040,0.00572581
1,410,0.0149715
-1,2860,0.000698966
-1,920,0.00591926
1,870,0.00680436
1,860,0.0051106
-1,510,0.0147353
-1,470,0.00953747
-1,550,0.00208095
1,430,0.00434079
-1,1420,0.00168798
1,820,0.00789042
-1,190,0.00262194
1,3940,4.1959e-05
1,1300,0.00192049
-1,3480,0.000476843
1,580,0.00980786
1,560,0.0138506
-1,790,0.00842968
1,950,0.00483857
-1,630,0.0122487
-1,2390,0.00140298
1,570,0.0136403
-1,1440,0.00326644
-1,1720,0.00255262
-1,610,0.005386
1,1510,0.00262338
-1,260,0.00158625
1,2180,0.00169313
1,4060,0.00031433
1,530,0.0144206
-1,310,0.0114323
-1,440,0.0017217
1,350,0.0134179
-1,320,0.0120023
-1,310,0.000303919
1,470,0.00472815
-1,1740,0.00139247
1,660,0.00543129
-1,360,0.00749236
1,770,0.00839602
-1,710,0.00225569
1,1000,0.00470687
-1,750,0.00859216
1,1060,0.00205512
1,1500,0.00266852
-1,840,0.00738406
1,880,0.00727535
1,800,0.000630918
-1,550,0.0140516
1,4170,0.000284833
-1,440,0.00444758
1,570,0.0136403
1,420,0.0150834
-1,390,0.00146826
-1,2180,0.000828858
1,1300,0.00180948
-1,1110,0.000516072
1,510,0.000601418
1,3300,0.000620956
-1,1330,0.00359132
-1,440,0.00919268
-1,2240,0.0010244
-1,550,0.00208095
1,1360,0.0017482
1,5090,0.00017664
