choice,RT,p
1,770,0.00777821
-1,2010,0.00351263
-1,920,0.00615072
-1,1380,0.00518321
-1,3630,0.00014993
1,980,0.00134973
1,1180,0.00909528
1,4140,0.000405241
1,1050,0.00725089
-1,2450,0.00104413
1,1280,0.000162049
-1,1390,0.00290983
1,5480,2.34041e-05
-1,1160,0.0045985
-1,1240,0.00420206
1,3540,0.000255498
-1,1530,0.00222926
-1,3050,0.000124934
1,2710,0.00292526
-1,750,0.00819032
-1,1330,0.0032274
-1,390,0.00457151
1,600,0.0182756
-1,770,0.00697114
1,500,0.017731
1,360,0.00065882
-1,2000,0.00146993
1,510,0.003136
1,880,0.00189609
1,1940,0.00352601
-1,1470,0.00501304
-1,2090,0.000179198
1,470,0.000613349
1,2300,0.00298109
1,390,0.000625504
-1,4260,0.000523244
-1,1300,0.00220325
-1,1080,0.00411257
1,830,0.00553096
1,1010,0.012451
1,1190,0.00788703
-1,1290,0.00367986
-1,470,0.00188186
-1,1330,0.00574147
-1,1100,0.00771502
1,1490,0.00583867
1,1160,0.00168461
1,1500,0.00342769
1,650,0.00117299
-1,950,0.00371133
1,1840,0.00138725
-1,3100,0.00139178
-1,490,0.000327345
-1,820,0.0094469
1,3090,0.00142811
-1,2940,0.00146548
1,4000,0.000208418
-1,1820,0.00199908
-1,440,0.0031416
-1,1820,0.00057894
-1,1940,0.00104338
1,730,0.00270071
1,810,0.00364855
-1,1500,0.00303571
-1,1730,0.00225851
1,1760,0.00386025
-1,920,0.00832609
-1,1610,0.000415114
1,1020,0.00886212
1,900,0.0138434
-1,1030,0.00308399
1,780,0.0104811
-1,950,0.00600882
1,1050,0.0073412
1,1670,0.00602348
-1,1350,0.00611591
1,1620,0.00353476
1,1070,0.00211031
-1,990,0.00221975
-1,890,0.0046552
1,1630,0.0013138
-1,830,0.00931208
-1,1410,0.00332318
1,2110,0.00347827
1,470,0.000316171
-1,1230,0.00337747
1,3010,0.000182767
-1,2080,0.00221902
1,570,0.00676767
-1,460,0.00244213
-1,620,0.00499198
1,790,0.015103
1,1150,0.0116395
-1,780,0.00869892
1,730,0.00716402
1,1030,0.0101763
-1,2280,0.00196661
1,760,0.0112867
-1,1240,0.00417613
-1,500,0.00340378
1,780,0.0136776
1,850,0.00701942
1,3020,0.000975841
1,1430,0.00584383
-1,2450,0.00110554
1,330,0.000964401
-1,620,0.00636612
-1,660,0.00453195
-1,500,0.00628775
1,920,0.00728288
-1,4990,8.89256e-05
-1,1520,0.00403142
1,1550,0.00619923
-1,590,0.00507254
-1,2900,0.000297624
1,850,0.00186581
1,800,0.00295192
-1,370,0.00463491
1,1420,0.0039638
1,570,0.00213925
1,1790,0.00480308
-1,1990,0.00264525
-1,330,0.000115716
1,3200,0.00025585
1,610,0.00570704
1,830,0.0148946
-1,1500,0.00330962
1,950,0.00284118
1,2020,0.00343671
-1,260,0.000937017
1,1110,0.00943923
-1,880,0.00986113
-1,2210,0.00270509
1,2750,0.000824348
1,690,0.000878017
-1,830,0.00243056
-1,1620,0.00462331
1,1850,0.000221182
-1,1600,0.00380551
1,1230,0.00249703
-1,2220,0.00354485
-1,2130,0.00288691
-1,1630,0.00438671
-1,7250,6.21983e-05
1,430,0.00796434
-1,1000,0.00915709
1,1410,0.00796679
1,610,0.0047701
1,1340,0.000287958
1,2150,0.00495936
-1,1960,0.00232027
-1,950,0.000854041
-1,1100,0.000416545
-1,3570,0.00014617
-1,1570,0.00193795
-1,1940,0.00308364
1,2520,0.000493227
-1,1620,0.00150876
-1,930,0.00604208
-1,1960,0.00333398
-1,3040,0.00115491
1,3100,0.00145726
-1,2930,0.000179147
1,1690,0.00134702
-1,1490,0.0055625
-1,2250,0.000660491
-1,2200,0.00175275
-1,2220,0.00148269
-1,3590,0.000103673
-1,1190,0.00474884
-1,1890,0.00360565
1,2020,0.00331009
-1,1530,0.00493307
-1,4360,0.000293842
1,3030,0.00258945
1,630,0.00447454
1,1960,0.00157105
1,2040,0.000222586
-1,1610,0.00448511
-1,1330,0.00366421
1,2310,0.00145906
1,1710,0.000446848
-1,1930,0.00257574
-1,1340,0.00457569
-1,1010,0.00376763
1,1840,0.00170595
-1,1490,0.0050057
-1,1400,0.00484569
1,1000,0.002805
-1,1130,0.00542225
1,770,0.0047024
1,540,0.00718429
1,670,0.00563996
1,4110,0.000314949
1,590,0.00507256
-1,580,0.00880695
-1,500,0.00598044
1,2070,0.00063357
-1,1160,0.000752526
1,940,0.00292572
-1,4990,0.00025757
1,930,0.00922082
1,1150,0.00533129
-1,3300,0.000765102
1,1310,0.000227909
-1,3080,0.000534208
-1,920,0.00150606
1,1560,0.000846569
1,780,0.00292857
1,8080,3.6958e-06
-1,2300,0.0010009
1,1020,0.00182716
-1,440,0.00576891
-1,5330,0.000333975
1,1650,0.00331303
1,720,0.00768074
-1,4850,0.000500167
-1,1340,0.00272242
1,3580,0.000914921
1,690,0.00269658
-1,600,0.00204432
1,1150,0.00477574
-1,970,0.00956642
-1,1140,0.00606885
-1,950,0.00377755
-1,2990,0.00112804
1,1250,0.00401492
1,850,0.00222068
-1,810,0.00818441
-1,2090,0.00274787
-1,3980,0.000564242
1,840,0.010123
1,920,0.0108413
-1,530,0.00284768
1,1020,0.00474412
-1,690,0.000821281
1,840,0.00982014
-1,560,0.00502688
-1,170,0.000123503
-1,1380,0.00528308
-1,680,0.0121926
-1,5620,0.000183424
-1,1210,0.00399971
-1,1130,0.00755742
-1,1650,0.00339557
1,1730,0.00474439
-1,960,0.00972389
-1,800,0.0100344
-1,260,0.0024483
1,480,0.00706155
-1,1530,0.00403554
-1,610,0.0111291
1,570,0.000934566
1,1040,0.0128806
1,2310,0.00188954
1,1800,0.00232946
1,1600,0.00848926
-1,5460,0.00022593
1,800,0.0040454
-1,890,0.00613248
1,3240,0.000907501
1,1440,0.00178514
-1,320,0.0023098
1,4820,0.000523585
1,2970,0.00163951
-1,2510,0.00097425
1,730,0.0047765
1,1720,0.00082939
-1,670,0.00904812
-1,970,0.00586738
1,480,0.00159948
1,1030,0.00166664
-1,270,0.000729677
-1,2270,0.000209047
1,600,0.00556545
1,2160,0.00397141
1,180,0.000164267
1,1340,0.00696985
1,1000,0.00566866
-1,1890,0.0044452
-1,3080,0.00171509
1,2530,1.25771e-05
-1,670,0.00212373
1,660,0.00746003
