trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
81,-1,2460,3,2,0,60
81,-1,2460,3,2,2,770
81,-1,2460,3,2,0,80
81,-1,2460,3,2,1,350
81,-1,2460,3,2,0,90
81,-1,2460,3,2,2,570
82,-1,270,3,0,0,270
83,1,2770,3,6,0,210
83,1,2770,3,6,1,620
83,1,2770,3,6,0,100
83,1,2770,3,6,2,470
83,1,2770,3,6,0,60
83,1,2770,3,6,1,1180
83,1,2770,3,6,0,70
83,1,2770,3,6,2,60
84,1,300,3,5,0,50
84,1,300,3,5,1,130
84,1,300,3,5,0,60
84,1,300,3,5,2,60
85,-1,1770,3,2,0,380
85,-1,1770,3,2,1,200
85,-1,1770,3,2,0,70
85,-1,1770,3,2,2,620
85,-1,1770,3,2,0,80
85,-1,1770,3,2,1,420
86,1,2710,3,4,0,240
86,1,2710,3,4,1,510
86,1,2710,3,4,0,90
86,1,2710,3,4,2,570
86,1,2710,3,4,0,60
86,1,2710,3,4,1,380
86,1,2710,3,4,0,240
86,1,2710,3,4,2,330
86,1,2710,3,4,0,230
86,1,2710,3,4,1,60
87,1,850,3,3,0,210
87,1,850,3,3,1,190
87,1,850,3,3,0,60
87,1,850,3,3,2,390
88,-1,520,3,1,0,250
88,-1,520,3,1,1,270
89,-1,820,3,4,0,170
89,-1,820,3,4,1,310
89,-1,820,3,4,0,70
89,-1,820,3,4,2,160
89,-1,820,3,4,0,80
89,-1,820,3,4,1,30
90,1,3170,3,1,0,240
90,1,3170,3,1,1,270
90,1,3170,3,1,0,100
90,1,3170,3,1,2,780
90,1,3170,3,1,0,70
90,1,3170,3,1,1,540
90,1,3170,3,1,0,240
90,1,3170,3,1,2,620
90,1,3170,3,1,0,80
90,1,3170,3,1,1,230
91,-1,2160,3,0,0,240
91,-1,2160,3,0,1,340
91,-1,2160,3,0,0,90
91,-1,2160,3,0,2,690
91,-1,2160,3,0,0,60
91,-1,2160,3,0,1,740
92,-1,1360,3,2,0,200
92,-1,1360,3,2,1,230
92,-1,1360,3,2,0,90
92,-1,1360,3,2,2,350
92,-1,1360,3,2,0,80
92,-1,1360,3,2,1,410
93,-1,580,3,2,0,260
93,-1,580,3,2,1,320
94,-1,1520,3,1,0,210
94,-1,1520,3,1,2,240
94,-1,1520,3,1,0,70
94,-1,1520,3,1,1,830
94,-1,1520,3,1,0,70
94,-1,1520,3,1,2,100
95,1,1020,3,3,0,270
95,1,1020,3,3,1,420
95,1,1020,3,3,0,70
95,1,1020,3,3,2,260
96,1,1510,3,4,0,220
96,1,1510,3,4,1,550
96,1,1510,3,4,0,90
96,1,1510,3,4,2,360
96,1,1510,3,4,0,290
97,-1,1140,3,1,0,350
97,-1,1140,3,1,2,470
97,-1,1140,3,1,0,100
97,-1,1140,3,1,1,220
98,-1,450,3,0,0,230
98,-1,450,3,0,1,220
99,1,2970,3,6,0,260
